,wl,n,k
0,0.19163322400000002,0.800646,1.94923
1,0.193222458,0.79995,1.950502
2,0.194811752,0.8109850000000001,1.9616639999999999
3,0.196401108,0.836484,1.985987
4,0.19799054,0.8570270000000001,2.009882
5,0.199580017,0.8616209999999999,2.024498
6,0.201169571,0.865798,2.038459
7,0.202759186,0.8805860000000001,2.059297
8,0.204348846,0.89574,2.085477
9,0.205938599,0.9020229999999999,2.113596
10,0.20752839699999998,0.904056,2.138752
11,0.20911823999999998,0.908357,2.15733
12,0.21070816000000003,0.9170360000000001,2.173893
13,0.21229814100000002,0.930351,2.195239
14,0.213888184,0.946264,2.2214110000000002
15,0.215478271,0.9613010000000001,2.247807
16,0.217068436,0.97465,2.271184
17,0.218658646,0.9896940000000001,2.290382
18,0.220248932,1.009034,2.305368
19,0.221839264,1.029998,2.320759
20,0.223429642,1.048363,2.342171
21,0.225020096,1.063561,2.369523
22,0.226610596,1.0795290000000002,2.395926
23,0.228201141,1.099405,2.415692
24,0.229791779,1.1208719999999999,2.430081
25,0.231382416,1.139508,2.442998
26,0.232973175,1.153324,2.457162
27,0.234563934,1.166296,2.472957
28,0.236154785,1.182966,2.490393
29,0.23774565099999997,1.204611,2.509054
30,0.23933659399999999,1.2280959999999999,2.527864
31,0.240927612,1.2503360000000001,2.545774
32,0.24251864599999998,1.270564,2.56239
33,0.24410974100000002,1.2903719999999999,2.578034
34,0.24570089700000003,1.311274,2.5930560000000002
35,0.24729211400000004,1.333479,2.607724
36,0.248883377,1.3558350000000001,2.622198
37,0.250474686,1.3772360000000001,2.636597
38,0.25206604,1.3973950000000002,2.651047
39,0.25365743999999996,1.417203,2.665713
40,0.255248901,1.437568,2.680764
41,0.256840393,1.459074,2.696238
42,0.25843194599999997,1.48148,2.711765
43,0.26002356000000004,1.504405,2.7269200000000002
44,0.261615204,1.5275290000000001,2.741346
45,0.263206909,1.5507600000000001,2.755064
46,0.264798645,1.574133,2.768316
47,0.266390442,1.59768,2.781327
48,0.2679823,1.621357,2.794131
49,0.269574188,1.6449369999999999,2.806283
50,0.271166107,1.6681869999999999,2.817298
51,0.27275811800000005,1.690916,2.826751
52,0.27435012799999997,1.7131779999999999,2.834873
53,0.2759422,1.7352880000000002,2.842625
54,0.277534302,1.7575319999999999,2.8509330000000004
55,0.279126465,1.780148,2.860588
56,0.280718658,1.803245,2.871292
57,0.282310913,1.826844,2.8819220000000003
58,0.28390319799999997,1.8509810000000002,2.891427
59,0.285495514,1.875682,2.898893
60,0.28708789100000004,1.9005869999999998,2.904265
61,0.288680298,1.9249900000000002,2.908218
62,0.290272766,1.948216,2.9113830000000003
63,0.291865234,1.969641,2.914327
64,0.293457764,1.989107,2.917543
65,0.295050354,2.0071950000000003,2.921453
66,0.296642975,2.02451,2.9264509999999997
67,0.298235626,2.041608,2.932905
68,0.299828308,2.058957,2.941035
69,0.301421051,2.076754,2.95027
