wl,n,k
0.231,1.820709862,0.849883088
0.232,1.8266326519999998,0.849391943
0.233,1.832533973,0.8488365729999999
0.234,1.838421075,0.8482227440000001
0.235,1.844281071,0.8475403570000001
0.236,1.850123926,0.846803745
0.237,1.85594961,0.8460027990000001
0.238,1.86173833,0.8451278309999999
0.239,1.867509876,0.844198528
0.24,1.8732542840000002,0.8432094290000001
0.241,1.878971585,0.842153114
0.242,1.884661781,0.841029884
0.243,1.890316079,0.839846559
0.244,1.895940819,0.8386087959999999
0.245,1.90153964,0.837297215
0.246,1.907101385,0.8359311970000001
0.247,1.912625994,0.834495483
0.248,1.918119465,0.833002455
0.249,1.923571304,0.831445194
0.25,1.9289859969999998,0.829833715
0.251,1.934353875,0.828148008
0.252,1.939685827,0.826416315
0.253,1.944973815,0.8246138909999999
0.254,1.950222965,0.822755488
0.255,1.955411068,0.8208428590000001
0.256,1.960564931,0.8188635190000001
0.257,1.965664592,0.8168338690000001
0.258,1.970709586,0.814739606
0.259,1.975699349,0.8125900540000001
0.26,1.980644853,0.810386288
0.261,1.985526145,0.808128285
0.262,1.990343205,0.805816055
0.263,1.99511364,0.8034596009999999
0.264,1.9998136999999998,0.80103985
0.265,2.004449495,0.798573502
0.266,2.009021099,0.796062907
0.267,2.0135284469999997,0.7935047120000001
0.268,2.017966409,0.790894223
0.269,2.0223330269999997,0.788243235
0.27,2.0266205669999997,0.78555286
0.271,2.030843039,0.7828190979999999
0.272,2.034983601,0.780048799
0.273,2.039051944,0.7772422520000001
0.274,2.043038969,0.774398574
0.275,2.0469446380000003,0.7715277890000001
0.276,2.050762594,0.7686198909999999
0.277,2.05450196,0.7656948690000001
0.278,2.058153591,0.7627427509999999
0.279,2.061723207,0.7597634940000001
0.28,2.065200709,0.7567750040000001
0.281,2.068580475,0.753766497
0.282,2.071876745,0.7507430270000001
0.283,2.0750881430000003,0.747722443
0.284,2.078195265,0.744688907
0.285,2.081216854,0.74166186
0.286,2.08413921,0.738634789
0.287,2.0869702009999997,0.735607742
0.288,2.089709864,0.7325969920000001
0.289,2.092353306,0.729608493
0.29,2.094898281,0.726633434
0.291,2.097354805,0.723685482
0.292,2.099713429,0.7207651709999999
0.293,2.101979792,0.717880911
0.294,2.104154285,0.715034286
0.295,2.106241211,0.712237219
0.296,2.108239226,0.7094819459999999
0.297,2.1101496859999997,0.706787114
0.298,2.111978796,0.704148405
0.299,2.113726575,0.701571023
0.3,2.1154019969999998,0.699076005
0.301,2.116995645,0.696645196
0.302,2.1185240569999997,0.6942947429999999
0.303,2.119988244,0.692035627
0.304,2.121394974,0.689871082
0.305,2.122742142,0.6877950009999999
0.306,2.124045433,0.6858270209999999
0.307,2.1253116000000003,0.6839604
0.308,2.126540661,0.682202566
0.309,2.127742602,0.680563197
0.31,2.128931997,0.6790422890000001
0.311,2.130118268,0.677642961
0.312,2.1313107999999996,0.6763691999999999
0.313,2.1325204380000002,0.675231019
0.314,2.133757201,0.6742196
0.315,2.135048425,0.673336645
0.316,2.136399799,0.6725980579999999
0.317,2.137846985,0.671985043
0.318,2.139412626,0.6714976009999999
0.319,2.14113466,0.671134142
0.32,2.1431005659999998,0.670818144
0.321,2.145249905,0.670429499
0.322,2.14750057,0.669983886
0.323,2.149832588,0.669475342
0.324,2.152235946,0.668922571
0.325,2.154704786,0.668315571
0.326,2.157212237,0.667664341
0.327,2.159773898,0.6669689289999999
0.328,2.16237261,0.666236397
0.329,2.16500846,0.665459599
0.33,2.167677135,0.664644288
0.331,2.170371507,0.663797588
0.332,2.17309154,0.662899487
0.333,2.175833019,0.661974275
0.334,2.17859446,0.661011942
0.335,2.181372992,0.6600125029999999
0.336,2.1841616000000004,0.658978886
0.337,2.186975811,0.6579066579999999
0.338,2.189792969,0.656807315
0.339,2.19262286,0.655668128
0.34,2.19546728,0.654496002
0.341,2.198314293,0.653296597
0.342,2.201169997,0.652058801
0.343,2.2040326759999997,0.650786926
