wl,n,k
0.3,1.63,2.11
0.355,1.63,2.11
0.365,1.62,2.17
0.376,1.61,2.23
0.388,1.61,2.3
0.401,1.61,2.36
0.414,1.61,2.44
0.428,1.62,2.52
0.444,1.63,2.61
0.46,1.64,2.71
0.478,1.65,2.81
0.497,1.67,2.93
0.518,1.71,3.06
0.54,1.75,3.19
0.565,1.8,3.33
0.592,1.85,3.48
0.621,1.92,3.65
0.654,2.02,3.82
0.69,2.14,4.01
0.731,2.28,4.18
0.776,2.43,4.31
0.828,2.53,4.47
0.887,2.65,4.63
0.956,2.74,4.85
1.04,2.85,5.1
1.13,2.97,5.38
1.24,3.06,5.74
1.38,3.18,6.23
1.55,3.38,6.82
1.77,3.59,7.48
2.07,3.84,8.35
2.48,4.03,9.64
3.11,3.84,11.4
3.55,4.03,13.1
4.14,4.19,15.1
4.97,4.25,17.7
6.21,4.12,22.5
8.28,5.45,30.6
12.4,9.54,45.8
