wl,n,k
0.19241499299999998,1.036453,2.3003669999999996
0.194001999,1.05451,2.334635
0.195589081,1.059189,2.3324380000000002
0.19717617799999998,1.0079770000000001,2.340159
0.198763351,0.947681,2.416913
0.200350571,0.944773,2.53113
0.201937836,0.989332,2.629668
0.203525162,1.054417,2.7029259999999997
0.205112518,1.130854,2.754348
0.20669992099999998,1.21434,2.778492
0.20828739899999998,1.286499,2.769158
0.209874908,1.321346,2.7429240000000004
0.211462448,1.324808,2.738194
0.21305004900000002,1.332414,2.764618
0.21463769500000002,1.362255,2.794475
0.216225388,1.399227,2.8103130000000003
0.217813141,1.4273959999999999,2.818166
0.219400925,1.448032,2.829114
0.22098877000000003,1.467574,2.845691
0.22257663,1.489056,2.86499
0.224164581,1.5123659999999999,2.885277
0.225752533,1.537156,2.905952
0.22734054599999998,1.563424,2.9267060000000003
0.228928619,1.5912709999999999,2.9470099999999997
0.230516693,1.620257,2.966036
0.232104858,1.649313,2.983546
0.233693039,1.6773529999999999,3.000475
0.235281281,1.7049400000000001,3.018312
0.23686953700000002,1.7335580000000002,3.037397
0.238457855,1.764534,3.0565130000000003
0.240046219,1.797565,3.074112
0.241634598,1.831869,3.0893580000000003
0.243223053,1.866512,3.101668
0.244811523,1.900266,3.110792
0.24640005499999998,1.931747,3.116915
0.247988602,1.959518,3.120779
0.249577194,1.9822330000000001,3.123559
0.251165848,1.998143,3.127141
0.252754517,2.005996,3.136459
0.254343231,2.009799,3.156951
0.25593200699999996,2.016039,3.190493
0.25752081299999996,2.031982,3.234498
0.25910964999999997,2.0603990000000003,3.282564
0.26069851699999996,2.1009450000000003,3.3301489999999996
0.262287415,2.153052,3.3734620000000004
0.263876373,2.214584,3.4076519999999997
0.26546536299999995,2.280452,3.4297169999999997
0.267054382,2.344646,3.439275
0.26864343300000004,2.400634,3.440239
0.270232513,2.447763,3.4401559999999995
0.27182165499999994,2.489336,3.4433629999999997
0.273410828,2.529903,3.451599
0.275000031,2.573893,3.462474
0.276589264,2.62145,3.472314
0.278178528,2.67113,3.479229
0.279767822,2.720886,3.482558
0.281357147,2.76893,3.483567
0.282946533,2.815353,3.483818
0.28453595000000004,2.860839,3.4841349999999998
0.28612536600000005,2.906364,3.4848220000000003
0.28771484399999997,2.952854,3.4852510000000003
0.289304352,3.000283,3.4845620000000004
0.29089386,3.048286,3.482275
0.292483459,3.096366,3.478151
0.29407302900000004,3.14394,3.4723309999999996
0.29566265899999994,3.19081,3.4652269999999996
0.297252319,3.236988,3.457115
0.29884201,3.282546,3.448177
0.300431732,3.3275959999999998,3.43853
0.302021484,3.3722449999999995,3.428208
0.303611267,3.416558,3.4172239999999996
0.30520105000000003,3.460608,3.405587
0.306790894,3.504487,3.3932839999999995
0.30838076799999997,3.548311,3.380228
0.309970642,3.5920870000000003,3.3662360000000002
0.311560577,3.6357230000000005,3.3511800000000003
0.313150543,3.679101,3.334979
0.314740509,3.7220730000000004,3.317593
0.316330505,3.7644699999999998,3.299057
0.317920532,3.8061949999999998,3.279475
0.31951059,3.84721,3.25893
0.321100677,3.88749,3.237484
0.322690796,3.927022,3.215187
0.324280914,3.9658029999999997,3.192066
0.325871063,4.003808,3.168114
0.327461243,4.040975,3.143336
