wl,n,k
0.19241499299999998,1.287103,1.3720379999999999
0.194001999,1.279603,1.376716
0.195589081,1.273994,1.382203
0.19717617799999998,1.269395,1.387512
0.198763351,1.264507,1.39229
0.200350571,1.257747,1.397527
0.201937836,1.24929,1.405316
0.203525162,1.240552,1.4168450000000001
0.205112518,1.2334379999999998,1.432468
0.20669992099999998,1.2303110000000002,1.451183
0.20828739899999998,1.231933,1.4702
0.209874908,1.237275,1.487555
0.211462448,1.2448629999999998,1.502177
0.21305004900000002,1.252903,1.513757
0.21463769500000002,1.259736,1.523391
0.216225388,1.265263,1.532571
0.217813141,1.2699770000000001,1.542145
0.219400925,1.2745870000000001,1.5525579999999999
0.22098877000000003,1.280016,1.563817
0.22257663,1.286975,1.5750620000000002
0.224164581,1.295251,1.585401
0.225752533,1.304362,1.59433
0.22734054599999998,1.313726,1.601587
0.228928619,1.322658,1.607142
0.230516693,1.330484,1.611452
0.232104858,1.337105,1.615169
0.233693039,1.342663,1.618702
0.235281281,1.3473760000000001,1.622318
0.23686953700000002,1.351528,1.62616
0.238457855,1.355488,1.630193
0.240046219,1.359457,1.6340290000000002
0.241634598,1.363272,1.637342
0.243223053,1.366675,1.6399599999999999
0.244811523,1.3693549999999999,1.6418119999999998
0.24640005499999998,1.370955,1.6429200000000002
0.247988602,1.37104,1.6434520000000001
0.249577194,1.369276,1.643893
0.251165848,1.365643,1.644723
0.252754517,1.3602049999999999,1.646316
0.254343231,1.3530440000000001,1.648998
0.25593200699999996,1.344249,1.6530779999999998
0.25752081299999996,1.333882,1.658885
0.25910964999999997,1.321969,1.666942
0.26069851699999996,1.30895,1.6779939999999998
0.262287415,1.295605,1.692507
0.263876373,1.282824,1.7106919999999999
0.26546536299999995,1.271563,1.7325270000000002
0.267054382,1.262825,1.7577509999999998
0.26864343300000004,1.257662,1.785814
0.270232513,1.2572139999999998,1.8155869999999998
0.27182165499999994,1.2617129999999999,1.8451400000000002
